Wavelength,Reflectance_1,Reflectance_2,Reflectance_3,Reflectance_4,Reflectance_5
350,0.0102364392951131,0.055598795413971,-0.0622239857912064,0.0661196112632751,0.158215865492821
351,0.158586367964745,0.461363106966019,0.282037526369095,0.126195475459099,0.196221053600311
352,0.277326673269272,0.366560965776443,0.203117057681084,0.014703013934195,0.116824798285961
353,0.332833796739578,0.264376640319824,0.11467345058918,0.0266245678067207,0.170736208558083
354,0.287030160427094,0.202353566884995,0.155967280268669,0.0830100104212761,0.211688458919525
355,0.194016978144646,0.063823401927948,0.205368369817734,0.0292608700692654,0.0916672870516777
356,0.12827105820179,0.149649277329445,0.156918600201607,0.0394096784293652,0.0387388691306114
357,0.117764323949814,0.217898070812225,0.0934814214706421,0.0771106481552124,0.0895458906888962
358,0.119671441614628,0.182078003883362,0.0698966011404991,0.0856732130050659,0.141846239566803
359,0.0555963665246964,0.100991882383823,0.0722911506891251,0.0375975146889687,0.0791675373911858
360,0.0324246771633625,0.0845590531826019,0.0813184380531311,0.016142800450325,0.057223841547966
361,0.0338117927312851,0.0823679268360138,0.0716360732913017,0.0232904572039843,0.0431494191288948
362,0.0412870943546295,0.0714174211025238,0.0546144843101501,0.03992884978652,0.0384863130748272
363,0.0582355186343193,0.0798939988017082,0.0707342848181725,0.0471322871744633,0.106784828007221
364,0.0682144537568092,0.0955723375082016,0.0824462547898293,0.0536165274679661,0.0873439237475395
365,0.0753214880824089,0.10493066906929,0.0760108977556229,0.0665592327713966,0.0624341741204262
366,0.0800046026706696,0.0983624532818794,0.0565609633922577,0.0783387422561646,0.0802787840366364
367,0.0621277429163456,0.0628437623381615,0.0567027218639851,0.0429171174764633,0.0449803210794926
368,0.0518534630537033,0.046380452811718,0.0523910373449326,0.0323658585548401,0.0334836542606354
369,0.0529091134667397,0.0534143671393394,0.043476153165102,0.0369429513812065,0.0393005311489105
370,0.0569841079413891,0.0666364803910255,0.0376876071095467,0.032085046172142,0.0375875160098076
371,0.048499770462513,0.0504844896495342,0.0466362573206425,0.0475509241223335,0.0436818860471249
372,0.0511961542069912,0.0390595868229866,0.0511551797389984,0.0553296394646168,0.0478697009384632
373,0.0624900497496128,0.0424832403659821,0.0497675314545631,0.0503281615674496,0.0511329732835293
374,0.0646733194589615,0.0516125671565533,0.0528949685394764,0.0443837344646454,0.0600662939250469
375,0.059072770178318,0.0578612796962261,0.0640289336442947,0.0444300398230553,0.058337964117527
376,0.057018093764782,0.0646676644682884,0.0603022649884224,0.0477784723043442,0.0541630610823631
377,0.0579658187925816,0.0711352974176407,0.045123029500246,0.0503413192927837,0.05318308994174
378,0.0467799976468086,0.0688716620206833,0.0548839420080185,0.0480046682059765,0.0548105910420418
379,0.0475181974470615,0.0484870821237564,0.0498887337744236,0.046469084918499,0.0548103041946888
380,0.053335640579462,0.0414092615246773,0.0463583022356033,0.0497173629701138,0.0538827888667583
381,0.0559198334813118,0.0601039417088032,0.0557141937315464,0.0564597994089127,0.0531147420406342
382,0.0590223260223866,0.05603102222085,0.052067793905735,0.0547254309058189,0.0517334081232548
383,0.0607133954763412,0.0498567782342434,0.0447797924280167,0.0491404384374619,0.0504545941948891
384,0.0607886388897896,0.0523290559649467,0.0437101759016514,0.0471056923270226,0.0515005737543106
385,0.0597791485488415,0.0635664910078049,0.052679568529129,0.0524974130094051,0.055481567978859
386,0.0579638630151749,0.0534145459532738,0.049565639346838,0.0509789027273655,0.0548219978809357
387,0.0551276654005051,0.0486360527575016,0.0499353893101215,0.0482468344271183,0.0507639311254025
388,0.0524804033339024,0.0516906641423702,0.0560144931077957,0.0471918843686581,0.0481729581952095
389,0.0519177578389645,0.0483391806483269,0.0595544464886189,0.0475943349301815,0.0521177500486374
390,0.052164938300848,0.0510361529886723,0.0569863244891167,0.0445599742233753,0.0486127883195877
391,0.0521245189011097,0.0523148104548454,0.0550913922488689,0.0454649962484837,0.0459561385214329
392,0.051676794886589,0.050968624651432,0.0569474473595619,0.0502011999487877,0.0490598827600479
393,0.0518866814672947,0.0565006844699383,0.0590915456414223,0.0475837551057339,0.0548150278627872
394,0.0549158081412315,0.0589696280658245,0.0536183826625347,0.0502689182758331,0.0553996302187443
395,0.0552028119564056,0.0547984577715397,0.0490997545421124,0.0543687753379345,0.0528552643954754
396,0.0505593791604042,0.0470579005777836,0.051454022526741,0.0541813410818577,0.0506320893764496
397,0.0509976223111153,0.0520369037985802,0.0511379279196262,0.0471825078129768,0.0491638369858265
398,0.0528742074966431,0.0531482473015785,0.0517888516187668,0.0482753440737724,0.051780067384243
399,0.0540569722652435,0.0525477826595306,0.0529170371592045,0.0518399178981781,0.0546860918402672
400,0.0528926774859428,0.0564277432858944,0.0528485886752605,0.0480897128582001,0.0532678849995136
401,0.0456215590238571,0.0541484393179417,0.0508651286363602,0.0463101454079151,0.0513517893850803
402,0.0477372296154499,0.0529836900532246,0.0504477582871914,0.0477171950042248,0.0520671643316746
403,0.0574141070246696,0.0548650212585926,0.0527211874723434,0.0505546815693378,0.0525884218513966
404,0.0597817301750183,0.0566615872085094,0.0561116300523281,0.0514522977173328,0.0472369343042374
405,0.053858645260334,0.0553181357681751,0.0522669330239296,0.0510263405740261,0.0487363636493683
406,0.0509798116981983,0.0543588474392891,0.0507971458137035,0.0488969124853611,0.0524744652211666
407,0.0545805282890797,0.0548088289797306,0.0535997562110424,0.0472462140023708,0.0537294670939445
408,0.0541285388171673,0.0526909828186035,0.0476725362241268,0.0521900579333305,0.0511422455310822
