Wavelength,Reflectance_1,Reflectance_2,Reflectance_3,Reflectance_4,Reflectance_5
350,-0.19338147342205,-0.123590491712093,0.0327587090432644,0.0530233532190323,0.153864294290543
351,0.0594063848257065,0.0713321715593338,0.043517179787159,0.129969924688339,0.233549684286118
352,-0.0184831563383341,0.0445996709167957,-0.0660775229334831,-0.0288616679608822,0.0417710617184639
353,-0.0386370979249477,0.0886049643158913,-0.0998056009411812,0.0224654544144869,0.0527217909693718
354,0.0266173779964447,0.134825110435486,-0.0275379996746778,0.0979592874646187,0.131711646914482
355,0.0734768733382225,0.0695222169160843,0.079261526465416,-0.0433887876570225,0.0393107794225216
356,-0.00773154478520155,0.0259698256850243,-0.013528392650187,-0.0175293628126383,-0.0161150638014078
357,0.0111326370388269,0.052945714443922,-0.0229598395526409,0.0380199737846851,-0.0141103016212583
358,0.0778993740677834,0.0804396420717239,0.0344986692070961,0.0523112937808037,0.0219297651201487
359,0.0284411888569593,0.0188016425818205,0.00297203357331455,0.0316419117152691,0.0665004700422287
360,-0.00187941850163043,0.0236566662788391,0.0277061257511377,0.0224576108157635,0.0390454567968845
361,0.00377336307428777,0.0340253487229347,0.0481836199760437,0.0256436504423618,0.029980756342411
362,0.0251354221254587,0.017841275781393,0.0430277027189732,0.0314317345619202,0.049404751509428
363,0.0277439057826996,-0.00527540454640985,0.0429283678531647,0.0274069961160421,0.0148218115791678
364,0.0126483887434006,0.0141503503546119,0.0288473833352327,0.0395038053393364,0.0272981766611338
365,0.0225373320281506,0.0286485031247139,0.0145216453820467,0.0438396111130714,0.0559049211442471
366,0.0580886676907539,0.0120027363300323,0.00988860800862312,0.0318301431834698,0.0619859434664249
367,0.0224379301071167,0.00416071759536862,0.00911628548055887,0.0404708907008171,0.0243961270898581
368,0.0125607131049037,0.00789299793541431,0.0151133462786674,0.0374630205333233,0.0206440333276987
369,0.0260811559855938,0.0176537539809942,0.0288903042674065,0.0290372911840677,0.0268986616283655
370,0.0323820225894451,0.0259209852665663,0.0449300035834312,0.0288457795977592,0.00887857098132372
371,0.0224703699350357,0.0299043990671635,0.0324684865772724,0.0308795962482691,0.0282649118453264
372,0.0202577356249094,0.0325580015778542,0.0261921528726816,0.0279644206166267,0.0351283140480518
373,0.026144977658987,0.0328695587813854,0.0302708819508553,0.0226047467440367,0.0271200221031904
374,0.027195755392313,0.0285751204937696,0.0303117800503969,0.0223744884133339,0.0304474290460348
375,0.0319941006600857,0.0316335670650005,0.0351798050105572,0.0274888575077057,0.0348418913781643
376,0.0363662987947464,0.0349816977977753,0.0350212566554546,0.0250997450202703,0.0341273248195648
377,0.0347034446895123,0.0331594422459602,0.0269336216151714,0.01718994602561,0.0278846248984337
378,0.0217072628438473,0.0254478882998228,0.0178818684071302,0.023326026275754,0.0214628074318171
379,0.0193894505500793,0.023264529183507,0.0171398241072893,0.0267190951853991,0.0226581692695618
380,0.0233648903667927,0.0254844762384892,0.0230137165635824,0.0294680316001177,0.029273709282279
381,0.0260226521641016,0.0272700451314449,0.029023265466094,0.0326451696455479,0.0353661403059959
382,0.0260297376662493,0.0206437557935715,0.0235402509570122,0.0248773731291294,0.0322826020419598
