Wavelength,Reflectance_1,Reflectance_2,Reflectance_3,Reflectance_4,Reflectance_5
350,-0.131463289260864,0.425186783075333,0.577896356582642,-0.251100361347198,-0.13031131029129
351,-0.323369443416595,0.852643609046936,0.420709639787674,0.39106023311615,-0.0532458163797855
352,-0.280156552791595,0.328045815229416,0.0185769982635975,0.616102159023285,0.272551655769348
353,0.0463470183312893,0.0055683134123683,-0.0665411055088043,0.328513532876968,0.2821344435215
354,0.101026549935341,-0.0431903973221779,0.0300225559622049,0.16860668361187,0.101297087967396
355,-0.0730941593647003,-0.17585301399231,0.143678769469261,0.112500831484795,-0.144291952252388
356,-0.136169642210007,-0.143227770924568,0.103388085961342,-0.0194522775709629,0.0643363669514656
357,0.0581743568181992,0.0152282370254397,0.0538004972040653,-0.0921736136078835,0.221341848373413
358,0.191517770290375,0.0876628309488297,0.0396355800330639,-0.0606887526810169,0.124634467065334
359,0.076821580529213,0.0522464588284492,-0.0259345211088657,-0.0248768888413906,-0.0012059798464179
360,0.0794444307684898,0.0365911796689034,0.0329533331096172,0.0218592304736376,0.000419732212321833
361,0.0544480197131634,0.0458990558981895,0.0619682408869267,0.0927940458059311,-0.0155817391350865
362,-0.0237308945506811,0.048716627061367,0.0281921569257975,0.147709175944328,-0.064014695584774
363,0.0197499915957451,-0.0032436023466289,0.0908264890313148,0.103295065462589,0.0381124764680862
364,0.0540028475224972,0.0029335729777813,0.0698064863681793,0.0715110003948212,0.0887610241770744
365,0.0808991566300392,0.0319056585431099,0.0472999177873135,0.0731892362236977,0.0618259720504284
366,0.105033285915852,0.0415231995284557,0.0699950084090233,0.0865756347775459,0.00948937237262726
367,0.044246394187212,-0.00865576043725014,0.0651558712124825,0.0628008171916008,0.0613219700753689
368,0.0331421010196209,0.00694316811859608,0.061976857483387,0.0153389861807227,0.05417475476861
369,0.0489823222160339,0.0443734712898731,0.0633662790060043,0.0028591223526746,0.0213811378926039
370,0.033980768173933,0.0339011438190937,0.0631002187728882,0.0498556271195412,0.0369930490851402
371,0.0194082241505384,0.0282570719718933,0.0564844012260437,0.0565043799579144,0.0708949714899063
372,0.0330665744841099,0.0434884615242481,0.0601995512843132,0.0502482987940311,0.0790992900729179
373,0.0576513335108757,0.0597126744687557,0.0623454675078392,0.0416536070406437,0.0628230646252632
374,0.0545297302305698,0.044578094035387,0.0412009544670582,0.0321495160460472,0.0526920221745968
375,0.0514093935489655,0.040369238704443,0.0525900349020958,0.0686275884509087,0.0398404076695442
376,0.0496345236897469,0.0414125770330429,0.0662114024162292,0.0742245763540268,0.0496015585958958
377,0.0472191423177719,0.0414965189993382,0.0632682666182518,0.0408257097005844,0.0690784156322479
378,0.0411436706781387,0.040559995919466,0.0538812391459942,0.056003712117672,0.0415340848267078
379,0.0396003164350986,0.0446701012551785,0.0486396960914135,0.0393866039812565,0.041362352669239
380,0.0337574034929276,0.0511361882090569,0.0438701510429382,0.0317555330693722,0.0552154891192913
381,0.0225051064044237,0.0560593269765377,0.0392431728541851,0.0575967840850353,0.0569059327244759
382,0.032792579382658,0.0571897700428963,0.0535394884645939,0.0461963899433613,0.031255379319191
383,0.0383230783045292,0.0513762272894382,0.0540985614061356,0.0387014448642731,0.0254219844937325
384,0.0343994572758675,0.0479327775537968,0.0461285747587681,0.0464942045509815,0.0395178012549877
385,0.0274956785142422,0.0524587444961071,0.0450534448027611,0.0630401596426964,0.0538301840424538
386,0.0360592231154442,0.0347891785204411,0.0491578727960587,0.0535109713673592,0.0436302907764912
387,0.036806158721447,0.0316159948706627,0.0467983298003674,0.0416136868298054,0.0408654250204563
388,0.0321235582232475,0.0428609140217304,0.0432803519070148,0.0418231934309006,0.0499427281320095
389,0.0403841398656368,0.0426470264792442,0.0520763508975506,0.0545261427760124,0.0536759942770004
390,0.041181668639183,0.0377933196723461,0.0487662702798843,0.0528030507266521,0.0419160835444927
391,0.0453395619988441,0.0377237573266029,0.0461450442671776,0.0481148362159729,0.0352739058434963
392,0.0530060641467571,0.0417651124298573,0.0501877032220364,0.0481248684227467,0.043825339525938
393,0.0462627373635769,0.0362435691058636,0.0522138439118862,0.0489756390452385,0.0589145235717297
394,0.0433430969715118,0.0355942510068417,0.0529610738158226,0.047314178198576,0.0528125874698162
395,0.0475536771118641,0.0389573648571968,0.0511691868305206,0.0457381717860699,0.0452849790453911
396,0.0539826899766922,0.0417673252522945,0.047811359167099,0.046582818031311,0.0504436083137989
397,0.0442377105355263,0.037309292703867,0.0503603033721447,0.0483602061867714,0.0409220233559608
398,0.0425284057855606,0.041860468685627,0.0522737987339497,0.0496844090521336,0.0422419048845768
399,0.0490820407867432,0.0467414632439613,0.0522005222737789,0.0479391925036907,0.0464839823544025
400,0.0534459687769413,0.0395415164530277,0.0504251755774021,0.0427387952804565,0.0393494553864002
401,0.0392533540725708,0.0379285663366318,0.0446157827973366,0.0464607290923595,0.0396688804030418
402,0.0400881841778755,0.0438691861927509,0.0402899608016014,0.049458485096693,0.0454024225473404
403,0.051809024065733,0.0492874085903168,0.043132558465004,0.0501020736992359,0.0484000071883202
404,0.0445648059248924,0.0418384857475758,0.0562552809715271,0.0526586510241032,0.0392695553600788
405,0.0447160787880421,0.0419693253934383,0.0546108931303024,0.0505833104252815,0.0383633524179459
406,0.04372413828969,0.0405575111508369,0.0445753335952759,0.047058742493391,0.0431839413940907
407,0.0386480204761028,0.0351134650409222,0.0372679270803928,0.0451368056237698,0.0481229647994041
408,0.0411554239690304,0.0385347791016102,0.0440526679158211,0.0458966717123985,0.048041820526123
409,0.0466899499297142,0.0412257835268974,0.0507346987724304,0.0447324514389038,0.0434312485158443
410,0.0463113971054554,0.041846863925457,0.0526125319302082,0.0440951250493526,0.0396366715431213
411,0.0381483696401119,0.041758093982935,0.0492054522037506,0.0454299114644527,0.0405549183487892
412,0.0436305217444897,0.043817512691021,0.0423453040421009,0.0417148806154728,0.043687965720892
413,0.0454466044902802,0.0451487861573696,0.0431254580616951,0.0401077158749104,0.0437775142490864
414,0.0425563752651215,0.0451732315123081,0.0474241077899933,0.0418173708021641,0.0415583476424217
415,0.0414797253906727,0.0444002337753773,0.0462667122483253,0.0446770042181015,0.0411293022334576
416,0.0426637902855873,0.0417783036828041,0.0492662377655506,0.0459142550826073,0.0488598980009556
417,0.0456194765865803,0.0417924784123898,0.049339659512043,0.0463667064905167,0.0490727238357067
418,0.0473211593925953,0.044249776750803,0.0472134351730347,0.0460947528481483,0.0411135107278824
419,0.0430743470788002,0.0441905222833157,0.0517854392528534,0.0443537048995495,0.0402682274580002
420,0.0415997803211212,0.0445103794336319,0.0529735647141933,0.0478438027203083,0.0413099080324173
421,0.0427584759891033,0.0449861623346806,0.0491107925772667,0.0486587099730968,0.0430429726839066
422,0.0444740429520607,0.0447473488748074,0.0436401218175888,0.0440145879983902,0.0447050370275974
423,0.0443984158337116,0.0422483794391155,0.0475573614239693,0.0474034324288368,0.0451878048479557
424,0.0421360991895199,0.0424854606389999,0.0509134195744991,0.0454657189548016,0.0457623489201069
425,0.0406355857849121,0.043173223733902,0.0491294041275978,0.0424115732312202,0.045856136828661
426,0.0422932505607605,0.0414110235869884,0.0426997244358063,0.0447152331471443,0.0449267067015171
427,0.0418785586953163,0.0429611355066299,0.0449326112866402,0.0426555387675762,0.0452206023037434
428,0.0438570454716682,0.0437493212521076,0.0467824749648571,0.0406593196094036,0.0449943132698536
